State,Overall,OverallSE,White,WhiteSE,Black,BlackSE,Hispanic,HispanicSE,Asian,AsianSE,Multiracial,MultiracialSE,Degree
Texas ,84.662911,0.114954,94.405736,0.101399,91.426993,0.228015,68.28701,0.291723,89.532259,0.478339,93.338824,0.791279,High School
Utah ,93.057883,0.246898,96.180035,0.208215,89.082513,4.69739,74.319663,1.385072,90.920949,1.701985,94.296237,1.696852,High School
Vermont ,93.247006,0.508952,93.831294,0.467676,NA,NA,89.590776,5.738275,78.207739,9.284908,91.004596,5.420283,High School
Virginia ,90.261811,0.177741,93.216,0.198678,86.652766,0.459033,73.932802,1.192522,90.543909,0.619612,93.480138,1.077856,High School
Washington ,91.659759,0.188005,95.0077,0.142859,90.015463,1.226317,70.036933,1.07984,88.516284,0.66632,93.387282,0.861951,High School
West Virginia ,87.041346,0.397963,86.792042,0.426233,92.115635,1.861219,88.928694,3.73735,87.73827,4.738963,87.663765,3.848396,High School
Wisconsin ,92.727401,0.19429,94.675335,0.153951,85.577454,1.501387,72.803851,1.824252,84.639658,1.715173,94.66186,1.614161,High School
Wyoming ,94.513551,0.450024,95.756336,0.413917,NA,NA,79.263441,3.290349,NA,NA,97.856952,1.651546,High School
United States ,33.167245,0.071495,36.896015,0.072558,22.706334,0.124131,17.625514,0.12697,55.921255,0.21364,36.276548,0.340644,Bachelors
Alabama ,26.291437,0.39508,28.424426,0.407529,19.856121,0.778341,16.898079,1.692362,55.867523,3.727424,32.396967,4.097043,Bachelors
Alaska ,31.099037,1.21906,37.383716,1.582805,21.820295,7.062912,28.764679,5.12993,30.273964,4.454116,30.036451,5.059234,Bachelors
Arizona ,30.104665,0.242506,36.486568,0.350932,27.370777,1.407501,14.165241,0.470204,59.919394,1.38921,33.295924,2.329966,Bachelors
